ms_Vx	ms_Vy	hdr_Vx	hdr_Vy	ms_res	hdr_res	d_Vx	d_Vy	d_res	d_relative_Vx	d_relative_Vy	d_relative_res
3.28285	-0.0118644	3.39467	0.006783	3.28287	3.39468	-0.111824	-0.0186474	-0.111809	-3.29409	-274.914	-3.29365
3.30707	0.0380222	3.4044	0.011352	3.30728	3.40442	-0.0973322	0.0266702	-0.0971326	-2.85901	234.938	-2.85313
3.33536	0.131401	3.41393	0.013234	3.33794	3.41396	-0.0785733	0.118167	-0.0760116	-2.30155	892.907	-2.2265
3.30133	0.0302918	3.42432	0.013676	3.30147	3.42435	-0.122996	0.0166158	-0.122884	-3.59183	121.496	-3.58854
3.19218	-0.0107618	3.43662	0.014414	3.1922	3.43665	-0.244444	-0.0251758	-0.244456	-7.11291	-174.662	-7.1132
3.25648	-0.0379086	3.45033	0.014629	3.2567	3.45036	-0.193851	-0.0525376	-0.193661	-5.61833	-359.133	-5.61278
3.25219	-0.0066262	3.46299	0.012677	3.2522	3.46302	-0.2108	-0.0193032	-0.210817	-6.08724	-152.269	-6.08767
3.27185	-0.0575968	3.47394	0.011293	3.27235	3.47395	-0.202091	-0.0688898	-0.201602	-5.81735	-610.022	-5.80325
3.51913	0.122176	3.4864	0.01243	3.52125	3.48642	0.0327324	0.109746	0.0348304	0.93886	882.909	0.999031
3.34892	0.007973	3.50076	0.014439	3.34893	3.50079	-0.151843	-0.006466	-0.151864	-4.33744	-44.7815	-4.33798
3.4978	-0.021253	3.5146	0.016914	3.49786	3.51464	-0.0168046	-0.038167	-0.0167807	-0.478137	-225.653	-0.477452
3.38948	0.0134182	3.52689	0.02084	3.38951	3.52695	-0.137412	-0.0074218	-0.137447	-3.89611	-35.6132	-3.89704
3.6693	0.04767	3.53707	0.023603	3.66961	3.53715	0.132232	0.024067	0.132463	3.73847	101.966	3.74492
3.40644	0.0293608	3.5466	0.02561	3.40657	3.54669	-0.140157	0.0037508	-0.140123	-3.95187	14.6458	-3.9508
